feature,bin,n,bad_rate,woe,coefficient,points
purpose,credit_card,88327,0.07125793924847441,0.2444179898064372,-0.8600492718730978,43.0
purpose,debt_consolidation,223646,0.09373295297031917,-0.054170655576564475,-0.8600492718730978,35.6
purpose,home_improvement,20449,0.07990610787813585,0.12031057666110889,-0.8600492718730978,39.9
purpose,house,1425,0.10736842105263159,-0.2079952929932297,-0.8600492718730978,31.8
purpose,major_purchase,6157,0.08429429917167451,0.06147306674240483,-0.8600492718730978,38.5
purpose,medical,3220,0.11273291925465838,-0.2611103756952639,-0.8600492718730978,30.5
purpose,moving,1967,0.14387391967463142,-0.5410215347118547,-0.8600492718730978,23.5
purpose,other,16214,0.1117552732206735,-0.2503387795129472,-0.8600492718730978,30.7
purpose,rare,174,0.10919540229885058,0.0,-0.8600492718730978,36.9
purpose,small_business,3636,0.15759075907590758,-0.6474780787943718,-0.8600492718730978,20.9
purpose,vacation,1743,0.10040160642570281,-0.13279748966584337,-0.8600492718730978,33.7
purpose,wedding,603,0.1011608623548922,-0.1458825637885133,-0.8600492718730978,33.3
percent_bc_gt_75,missing,3566,0.10487941671340438,-0.1800656894412355,-0.4629364691745057,34.5
percent_bc_gt_75,"(-inf, 0]",59434,0.0684288454420029,0.2879307445101517,-0.4629364691745057,40.8
percent_bc_gt_75,"(0, 25]",44533,0.07500056138144746,0.1891265061446181,-0.4629364691745057,39.5
percent_bc_gt_75,"(25, 40]",44640,0.08438620071684588,0.06103680538718141,-0.4629364691745057,37.8
percent_bc_gt_75,"(40, 50]",50663,0.08943410378382646,-0.0025687941348589757,-0.4629364691745057,36.9
percent_bc_gt_75,"(50, 66.7]",47778,0.09521118506425552,-0.07152767863471132,-0.4629364691745057,36.0
percent_bc_gt_75,"(66.7, 80]",32875,0.10290494296577947,-0.15780815734693815,-0.4629364691745057,34.8
percent_bc_gt_75,"(80, inf]",86954,0.10400901626147158,-0.1696295805666304,-0.4629364691745057,34.7
verification_status,Not Verified,107472,0.0703904272740807,0.25761284461144635,-0.7230909497405495,42.3
verification_status,Source Verified,129599,0.0954251190209801,-0.0739463960547833,-0.7230909497405495,35.4
verification_status,Verified,133372,0.09839396574993252,-0.10786923964987954,-0.7230909497405495,34.7
